TASK_LEN (in s),SAMPLE_SIZE,RAW_BIN (in ms),RAW_FREQ,NOR_PT,REL_FREQ
512,300,513083.5,119,2.116210938,0.396666667
512,300,513088.5,106,2.125976563,0.353333333
512,300,513093.5,32,2.135742188,0.106666667
512,300,513098.5,6,2.145507813,0.02
1024,300,1026152,12,2.1015625,0.04
1024,300,1026158,44,2.107421875,0.146666667
1024,300,1026162,92,2.111328125,0.306666667
1024,300,1026168,89,2.1171875,0.296666667
1024,300,1026172,43,2.12109375,0.143333333
1024,300,1026178,10,2.126953125,0.033333333
1024,300,1026182,4,2.130859375,0.013333333
1024,300,1026188,1,2.13671875,0.003333333
1024,300,1026192,1,2.140625,0.003333333
2048,300,2052250,3,2.075195313,0.01
2048,300,2052256,7,2.078125,0.023333333
2048,300,2052260,25,2.080078125,0.083333333
2048,300,2052266,56,2.083007813,0.186666667
2048,300,2052270,78,2.084960938,0.26
2048,300,2052276,66,2.087890625,0.22
2048,300,2052280,31,2.08984375,0.103333333
2048,300,2052286,20,2.092773438,0.066666667
2048,300,2052290,9,2.094726563,0.03
2048,300,2052296,1,2.09765625,0.003333333
2048,300,2052300,2,2.099609375,0.006666667
2048,300,2052306,1,2.102539063,0.003333333
4096,300,4103956,3,1.942382813,0.01
4096,300,4103962,3,1.943847656,0.01
4096,300,4103966,8,1.944824219,0.026666667
4096,300,4103972,22,1.946289063,0.073333333
4096,300,4103976,28,1.947265625,0.093333333
4096,300,4103982,33,1.948730469,0.11
4096,300,4103986,32,1.949707031,0.106666667
4096,300,4103992,50,1.951171875,0.166666667
4096,300,4103996,44,1.952148438,0.146666667
4096,300,4104002,34,1.953613281,0.113333333
4096,300,4104006,21,1.954589844,0.07
4096,300,4104012,5,1.956054688,0.016666667
8192,260,8209062,3,2.082763672,0.011538462
8192,260,8209068,3,2.083496094,0.011538462
8192,260,8209072,2,2.083984375,0.007692308
8192,260,8209078,6,2.084716797,0.023076923
8192,260,8209082,4,2.085205078,0.015384615
8192,260,8209088,10,2.0859375,0.038461538
8192,260,8209092,17,2.086425781,0.065384615
8192,260,8209098,18,2.087158203,0.069230769
8192,260,8209102,32,2.087646484,0.123076923
8192,260,8209108,27,2.088378906,0.103846154
8192,260,8209112,27,2.088867188,0.103846154
8192,260,8209118,29,2.089599609,0.111538462
8192,260,8209122,22,2.090087891,0.084615385
8192,260,8209128,17,2.090820313,0.065384615
8192,260,8209132,15,2.091308594,0.057692308
8192,260,8209138,11,2.092041016,0.042307692
8192,260,8209142,9,2.092529297,0.034615385
8192,260,8209148,3,2.093261719,0.011538462
8192,260,8209152,3,2.09375,0.011538462
8192,260,8209158,2,2.094482422,0.007692308
8192,260,8209162,0,2.094970703,0
16384,130,16416265,2,1.969299316,0.015384615
16384,130,16416275,5,1.969909668,0.038461538
16384,130,16416285,2,1.97052002,0.015384615
16384,130,16416295,6,1.971130371,0.046153846
16384,130,16416305,9,1.971740723,0.069230769
16384,130,16416315,10,1.972351074,0.076923077
16384,130,16416325,9,1.972961426,0.069230769
16384,130,16416335,7,1.973571777,0.053846154
16384,130,16416345,18,1.974182129,0.138461538
16384,130,16416355,13,1.97479248,0.1
16384,130,16416365,19,1.975402832,0.146153846
16384,130,16416375,7,1.976013184,0.053846154
16384,130,16416385,10,1.976623535,0.076923077
16384,130,16416395,9,1.977233887,0.069230769
16384,130,16416405,1,1.977844238,0.007692308
16384,130,16416415,2,1.97845459,0.015384615
16384,130,16416425,0,1.979064941,0
16384,130,16416435,1,1.979675293,0.007692308
16384,130,16416445,0,1.980285645,0
