TASK_LEN (in s),SAMPLE_SIZE,RAW_BIN (in ms),RAW_FREQ,NOR_PT,REL_FREQ,CUM_F,CUM_RF,
24,1000,24055.5,3,2.3125,0.003,999,0.999,#951 excluded
32,1000,32064.5,7,2.015625,0.007,,,
32,1000,32065.5,75,2.046875,0.075,,,
32,1000,32066.5,234,2.078125,0.234,,,
32,1000,32067.5,259,2.109375,0.259,,,
32,1000,32068.5,71,2.140625,0.071,,,
32,1000,32069.5,36,2.171875,0.036,,,
32,1000,32070.5,22,2.203125,0.022,,,
32,1000,32071.5,55,2.234375,0.055,,,
32,1000,32072.5,120,2.265625,0.12,,,
32,1000,32073.5,100,2.296875,0.1,,,
32,1000,32074.5,16,2.328125,0.016,,,
32,1000,32075.5,1,2.359375,0.001,,,
32,1000,32076.5,1,2.390625,0.001,,,
32,1000,32077.5,1,2.421875,0.001,,,
32,1000,32086.5,1,2.703125,0.001,999,0.999,#433 excluded
48,1000,48096.5,5,2.010416667,0.005,,,
48,1000,48097.5,27,2.03125,0.027,,,
48,1000,48098.5,39,2.052083333,0.039,,,
48,1000,48099.5,83,2.072916667,0.083,,,
48,1000,48100.5,126,2.09375,0.126,,,
48,1000,48101.5,121,2.114583333,0.121,,,
48,1000,48102.5,101,2.135416667,0.101,,,
48,1000,48103.5,91,2.15625,0.091,,,
48,1000,48104.5,117,2.177083333,0.117,,,
48,1000,48105.5,130,2.197916667,0.13,,,
48,1000,48106.5,103,2.21875,0.103,,,
48,1000,48107.5,39,2.239583333,0.039,,,
48,1000,48108.5,14,2.260416667,0.014,,,
48,1000,48109.5,2,2.28125,0.002,,,
48,1000,48110.5,1,2.302083333,0.001,,,
48,1000,48121.5,1,2.53125,0.001,1000,1,
64,1000,64128.5,2,2.0078125,0.002,,,
64,1000,64129.5,4,2.0234375,0.004,,,
64,1000,64130.5,31,2.0390625,0.031,,,
64,1000,64131.5,89,2.0546875,0.089,,,
64,1000,64132.5,99,2.0703125,0.099,,,
64,1000,64133.5,80,2.0859375,0.08,,,
64,1000,64134.5,29,2.1015625,0.029,,,
64,1000,64135.5,37,2.1171875,0.037,,,
64,1000,64136.5,111,2.1328125,0.111,,,
64,1000,64137.5,184,2.1484375,0.184,,,
64,1000,64138.5,205,2.1640625,0.205,,,
64,1000,64139.5,96,2.1796875,0.096,,,
64,1000,64140.5,26,2.1953125,0.026,,,
64,1000,64141.5,4,2.2109375,0.004,,,
64,1000,64142.5,3,2.2265625,0.003,1000,1,
72,1000,72149.5,1,2.076388889,0.001,,,
72,1000,72150.5,6,2.090277778,0.006,,,
72,1000,72151.5,27,2.104166667,0.027,,,
72,1000,72152.5,122,2.118055556,0.122,,,
72,1000,72153.5,256,2.131944444,0.256,,,
72,1000,72154.5,198,2.145833333,0.198,,,
72,1000,72155.5,87,2.159722222,0.087,,,
72,1000,72156.5,38,2.173611111,0.038,,,
72,1000,72157.5,39,2.1875,0.039,,,
72,1000,72158.5,59,2.201388889,0.059,,,
72,1000,72159.5,86,2.215277778,0.086,,,
72,1000,72160.5,49,2.229166667,0.049,,,
72,1000,72161.5,23,2.243055556,0.023,,,
72,1000,72162.5,4,2.256944444,0.004,,,
72,1000,72164.5,3,2.284722222,0.003,,,
72,1000,72169.5,1,2.354166667,0.001,999,0.999,#523 excluded
80,1000,80163.5,1,2.04375,0.001,,,
80,1000,80164.5,10,2.05625,0.01,,,
80,1000,80165.5,34,2.06875,0.034,,,
80,1000,80166.5,41,2.08125,0.041,,,
80,1000,80167.5,28,2.09375,0.028,,,
80,1000,80168.5,29,2.10625,0.029,,,
80,1000,80169.5,37,2.11875,0.037,,,
80,1000,80170.5,120,2.13125,0.12,,,
80,1000,80171.5,263,2.14375,0.263,,,
80,1000,80172.5,264,2.15625,0.264,,,
80,1000,80173.5,122,2.16875,0.122,,,
80,1000,80174.5,33,2.18125,0.033,,,
80,1000,80175.5,9,2.19375,0.009,,,
80,1000,80176.5,5,2.20625,0.005,,,
80,1000,80177.5,2,2.21875,0.002,,,
80,1000,80185.5,1,2.31875,0.001,999,0.999,#625 excluded
88,1000,88181.5,4,2.0625,0.004,,,
88,1000,88182.5,14,2.073863636,0.014,,,
88,1000,88183.5,36,2.085227273,0.036,,,
88,1000,88184.5,90,2.096590909,0.09,,,
88,1000,88185.5,177,2.107954545,0.177,,,
88,1000,88186.5,145,2.119318182,0.145,,,
88,1000,88187.5,72,2.130681818,0.072,,,
88,1000,88188.5,50,2.142045455,0.05,,,
88,1000,88189.5,47,2.153409091,0.047,,,
88,1000,88190.5,109,2.164772727,0.109,,,
88,1000,88191.5,129,2.176136364,0.129,,,
88,1000,88192.5,88,2.1875,0.088,,,
88,1000,88193.5,26,2.198863636,0.026,,,
88,1000,88194.5,6,2.210227273,0.006,,,
88,1000,88195.5,5,2.221590909,0.005,,,
88,1000,88196.5,1,2.232954545,0.001,999,0.999,#639 excluded
96,1000,96197.5,2,2.057291667,0.002,,,
96,1000,96198.5,3,2.067708333,0.003,,,
96,1000,96199.5,6,2.078125,0.006,,,
96,1000,96200.5,8,2.088541667,0.008,,,
96,1000,96201.5,16,2.098958333,0.016,,,
96,1000,96202.5,38,2.109375,0.038,,,
96,1000,96203.5,89,2.119791667,0.089,,,
96,1000,96204.5,186,2.130208333,0.186,,,
96,1000,96205.5,249,2.140625,0.249,,,
96,1000,96206.5,179,2.151041667,0.179,,,
96,1000,96207.5,119,2.161458333,0.119,,,
96,1000,96208.5,51,2.171875,0.051,,,
96,1000,96209.5,27,2.182291667,0.027,,,
96,1000,96210.5,13,2.192708333,0.013,,,
96,1000,96211.5,5,2.203125,0.005,,,
96,1000,96212.5,6,2.213541667,0.006,,,
96,1000,96214.5,1,2.234375,0.001,,,
96,1000,96228.5,1,2.380208333,0.001,999,0.999,#474 excluded
104,1000,104214.5,1,2.0625,0.001,,,
104,1000,104215.5,1,2.072115385,0.001,,,
104,1000,104216.5,18,2.081730769,0.018,,,
104,1000,104217.5,38,2.091346154,0.038,,,
104,1000,104218.5,73,2.100961538,0.073,,,
104,1000,104219.5,112,2.110576923,0.112,,,
104,1000,104220.5,82,2.120192308,0.082,,,
104,1000,104221.5,66,2.129807692,0.066,,,
104,1000,104222.5,66,2.139423077,0.066,,,
104,1000,104223.5,92,2.149038462,0.092,,,
104,1000,104224.5,143,2.158653846,0.143,,,
104,1000,104225.5,150,2.168269231,0.15,,,
104,1000,104226.5,100,2.177884615,0.1,,,
104,1000,104227.5,36,2.1875,0.036,,,
104,1000,104228.5,15,2.197115385,0.015,,,
104,1000,104229.5,3,2.206730769,0.003,,,
104,1000,104230.5,1,2.216346154,0.001,,,
104,1000,104234.5,1,2.254807692,0.001,,,
104,1000,104242.5,1,2.331730769,0.001,999,0.999,#474 excluded
112,1000,112235.5,5,2.102678571,0.005,,,
112,1000,112236.5,25,2.111607143,0.025,,,
112,1000,112237.5,80,2.120535714,0.08,,,
112,1000,112238.5,171,2.129464286,0.171,,,
112,1000,112239.5,217,2.138392857,0.217,,,
112,1000,112240.5,168,2.147321429,0.168,,,
112,1000,112241.5,100,2.15625,0.1,,,
112,1000,112242.5,64,2.165178571,0.064,,,
112,1000,112243.5,42,2.174107143,0.042,,,
112,1000,112244.5,49,2.183035714,0.049,,,
112,1000,112245.5,42,2.191964286,0.042,,,
112,1000,112246.5,23,2.200892857,0.023,,,
112,1000,112247.5,6,2.209821429,0.006,,,
112,1000,112248.5,2,2.21875,0.002,,,
112,1000,112249.5,2,2.227678571,0.002,,,
112,1000,112250.5,1,2.236607143,0.001,,,
112,1000,112251.5,1,2.245535714,0.001,,,
112,1000,112256.5,1,2.290178571,0.001,999,0.999,#327 excluded
120,1000,120248.5,4,2.070833333,0.004,,,
120,1000,120249.5,6,2.079166667,0.006,,,
120,1000,120250.5,28,2.0875,0.028,,,
120,1000,120251.5,54,2.095833333,0.054,,,
120,1000,120252.5,54,2.104166667,0.054,,,
120,1000,120253.5,62,2.1125,0.062,,,
120,1000,120254.5,45,2.120833333,0.045,,,
120,1000,120255.5,76,2.129166667,0.076,,,
120,1000,120256.5,123,2.1375,0.123,,,
120,1000,120257.5,179,2.145833333,0.179,,,
120,1000,120258.5,176,2.154166667,0.176,,,
120,1000,120259.5,98,2.1625,0.098,,,
120,1000,120260.5,38,2.170833333,0.038,,,
120,1000,120261.5,29,2.179166667,0.029,,,
120,1000,120262.5,16,2.1875,0.016,,,
120,1000,120263.5,6,2.195833333,0.006,,,
120,1000,120264.5,1,2.204166667,0.001,,,
120,1000,120265.5,1,2.2125,0.001,,,
120,1000,120267.5,1,2.229166667,0.001,,,
120,1000,120274.5,1,2.2875,0.001,998,0.998,#80/797 excluded
128,300,128266,2,2.078125,0.006666666667,,,
128,300,128268,28,2.09375,0.09333333333,,,
128,300,128270,100,2.109375,0.3333333333,,,
128,300,128272,62,2.125,0.2066666667,,,
128,300,128274,28,2.140625,0.09333333333,,,
128,300,128276,50,2.15625,0.1666666667,,,
128,300,128278,22,2.171875,0.07333333333,,,
128,300,128280,6,2.1875,0.02,,,
128,300,128282,1,2.203125,0.003333333333,299,0.9966666667,#26 excluded
160,1000,160333,4,2.08125,0.004,,,
160,1000,160335,39,2.09375,0.039,,,
160,1000,160337,110,2.10625,0.11,,,
160,1000,160339,106,2.11875,0.106,,,
160,1000,160341,190,2.13125,0.19,,,
160,1000,160343,235,2.14375,0.235,,,
160,1000,160345,129,2.15625,0.129,,,
160,1000,160347,97,2.16875,0.097,,,
160,1000,160349,66,2.18125,0.066,,,
160,1000,160351,20,2.19375,0.02,,,
160,1000,160353,1,2.20625,0.001,,,
160,1000,160359,1,2.24375,0.001,,,
160,1000,160361,1,2.25625,0.001,999,0.999,"#503,excluded"
192,1000,192399,3,2.078125,0.003,,,
192,1000,192401,16,2.088541667,0.016,,,
192,1000,192403,40,2.098958333,0.04,,,
192,1000,192405,89,2.109375,0.089,,,
192,1000,192407,190,2.119791667,0.19,,,
192,1000,192409,231,2.130208333,0.231,,,
192,1000,192411,164,2.140625,0.164,,,
192,1000,192413,142,2.151041667,0.142,,,
192,1000,192415,85,2.161458333,0.085,,,
192,1000,192417,27,2.171875,0.027,,,
192,1000,192419,6,2.182291667,0.006,,,
192,1000,192421,1,2.192708333,0.001,,,
192,1000,192425,1,2.213541667,0.001,,,
192,1000,192431,2,2.244791667,0.002,997,0.997,"#26,472,922,excluded"
224,1000,224466,1,2.080357143,0.001,,,
224,1000,224468,7,2.089285714,0.007,,,
224,1000,224470,36,2.098214286,0.036,,,
224,1000,224472,93,2.107142857,0.093,,,
224,1000,224474,190,2.116071429,0.19,,,
224,1000,224476,182,2.125,0.182,,,
224,1000,224478,188,2.133928571,0.188,,,
224,1000,224480,138,2.142857143,0.138,,,
224,1000,224482,84,2.151785714,0.084,,,
224,1000,224484,43,2.160714286,0.043,,,
224,1000,224486,26,2.169642857,0.026,,,
224,1000,224488,5,2.178571429,0.005,,,
224,1000,224490,4,2.1875,0.004,,,
224,1000,224492,1,2.196428571,0.001,998,0.998,"#321,704,excluded"
256,300,256535,3,2.08984375,0.01,,,
256,300,256537,15,2.09765625,0.05,,,
256,300,256539,21,2.10546875,0.07,,,
256,300,256541,34,2.11328125,0.1133333333,,,
256,300,256543,36,2.12109375,0.12,,,
256,300,256545,66,2.12890625,0.22,,,
256,300,256547,47,2.13671875,0.1566666667,,,
256,300,256549,39,2.14453125,0.13,,,
256,300,256551,22,2.15234375,0.07333333333,,,
256,300,256553,10,2.16015625,0.03333333333,,,
256,300,256555,2,2.16796875,0.006666666667,,,
256,300,256557,2,2.17578125,0.006666666667,,,
256,300,256559,1,2.18359375,0.003333333333,,,
256,300,256571,1,2.23046875,0.003333333333,299,0.9966666667,"#199,excluded"
512,300,513078.5,34,2.106445313,0.1133333333,,,
512,300,513083.5,119,2.116210938,0.3966666667,,,
512,300,513088.5,106,2.125976563,0.3533333333,,,
512,300,513093.5,32,2.135742188,0.1066666667,,,
512,300,513098.5,6,2.145507813,0.02,297,0.99,"#114,186,285,excluded"
1024,300,1026152,12,2.1015625,0.04,,,
1024,300,1026158,44,2.107421875,0.1466666667,,,
1024,300,1026162,92,2.111328125,0.3066666667,,,
1024,300,1026168,89,2.1171875,0.2966666667,,,
1024,300,1026172,43,2.12109375,0.1433333333,,,
1024,300,1026178,10,2.126953125,0.03333333333,,,
1024,300,1026182,4,2.130859375,0.01333333333,,,
1024,300,1026188,1,2.13671875,0.003333333333,,,
1024,300,1026192,1,2.140625,0.003333333333,296,0.9866666667,"#17,101,184,268,excluded"
2048,300,2052246,5,2.073242188,0.01666666667,,,
2048,300,2052252,3,2.076171875,0.01,,,
2048,300,2052256,9,2.078125,0.03,,,
2048,300,2052262,30,2.081054688,0.1,,,
2048,300,2052266,69,2.083007813,0.23,,,
2048,300,2052272,62,2.0859375,0.2066666667,,,
2048,300,2052276,60,2.087890625,0.2,,,
2048,300,2052282,39,2.090820313,0.13,,,
2048,300,2052286,13,2.092773438,0.04333333333,,,
2048,300,2052292,4,2.095703125,0.01333333333,,,
2048,300,2052296,2,2.09765625,0.006666666667,,,
2048,300,2052302,2,2.100585938,0.006666666667,,,
2048,300,2052306,1,2.102539063,0.003333333333,,,
2048,300,2052312,1,2.10546875,0.003333333333,300,1,
4096,300,4103968,8,1.9453125,0.02666666667,,,
4096,300,4103974,18,1.946777344,0.06,,,
4096,300,4103978,21,1.947753906,0.07,,,
4096,300,4103984,33,1.94921875,0.11,,,
4096,300,4103988,35,1.950195313,0.1166666667,,,
4096,300,4103994,42,1.951660156,0.14,,,
4096,300,4103998,44,1.952636719,0.1466666667,,,
4096,300,4104004,44,1.954101563,0.1466666667,,,
4096,300,4104008,28,1.955078125,0.09333333333,,,
4096,300,4104014,5,1.956542969,0.01666666667,,,
4096,300,4104018,3,1.957519531,0.01,,,
4096,300,4104024,3,1.958984375,0.01,,,
4096,300,4104028,1,1.959960938,0.003333333333,285,0.95,15 excluded
8192,260,8209062,3,2.082763672,0.01153846154,,,
8192,260,8209068,3,2.083496094,0.01153846154,,,
8192,260,8209072,2,2.083984375,0.007692307692,,,
8192,260,8209078,6,2.084716797,0.02307692308,,,
8192,260,8209082,4,2.085205078,0.01538461538,,,
8192,260,8209088,10,2.0859375,0.03846153846,,,
8192,260,8209092,17,2.086425781,0.06538461538,,,
8192,260,8209098,18,2.087158203,0.06923076923,,,
8192,260,8209102,32,2.087646484,0.1230769231,,,
8192,260,8209108,27,2.088378906,0.1038461538,,,
8192,260,8209112,27,2.088867188,0.1038461538,,,
8192,260,8209118,29,2.089599609,0.1115384615,,,
8192,260,8209122,22,2.090087891,0.08461538462,,,
8192,260,8209128,17,2.090820313,0.06538461538,,,
8192,260,8209132,15,2.091308594,0.05769230769,,,
8192,260,8209138,11,2.092041016,0.04230769231,,,
8192,260,8209142,9,2.092529297,0.03461538462,,,
8192,260,8209148,3,2.093261719,0.01153846154,,,
8192,260,8209152,3,2.09375,0.01153846154,,,
8192,260,8209158,2,2.094482422,0.007692307692,260,1,
16384,130,16416265,2,1.969299316,0.01538461538,,,
16384,130,16416275,5,1.969909668,0.03846153846,,,
16384,130,16416285,2,1.97052002,0.01538461538,,,
16384,130,16416295,6,1.971130371,0.04615384615,,,
16384,130,16416305,9,1.971740723,0.06923076923,,,
16384,130,16416315,10,1.972351074,0.07692307692,,,
16384,130,16416325,9,1.972961426,0.06923076923,,,
16384,130,16416335,7,1.973571777,0.05384615385,,,
16384,130,16416345,18,1.974182129,0.1384615385,,,
16384,130,16416355,13,1.97479248,0.1,,,
16384,130,16416365,19,1.975402832,0.1461538462,,,
16384,130,16416375,7,1.976013184,0.05384615385,,,
16384,130,16416385,10,1.976623535,0.07692307692,,,
16384,130,16416395,9,1.977233887,0.06923076923,,,
16384,130,16416405,1,1.977844238,0.007692307692,,,
16384,130,16416415,2,1.97845459,0.01538461538,,,
16384,130,16416435,1,1.979675293,0.007692307692,130,1,
